name,lat,lng,rating,direccion,tipo
Picá Los Canalla,-32.932029,-71.541725,4.6,San Pedro manzana E casa 10 higuerilla,restaurant
FARO de los Compadres,-32.931208,-71.538825,4.6,"El Prado 2585, Concón",restaurant
El Club de Pedro y Fabiola,-32.932467,-71.5379,4.5,"Costanera 175, Concón",restaurant
Te Encantará Restaurant,-32.930323,-71.540863,4.4,"Pasaje 131, Higuerilla Alto, Siempre Viva, Concón",restaurant
Restaurant Punta Del Este,-32.923324,-71.524107,4.4,"Av. Borgoño 23120, Concón",restaurant
El Salmon Restaurant,-32.930838,-71.539949,4.4,"A Morales 225a, Concón",restaurant
Nikko Seafood and Sushi,-32.924672,-71.525657,4.4,"Av. Borgoño 22902, Concón",restaurant
Alto Mar by La Gatita,-32.930692,-71.539562,4.3,"198, A Morales 100, Concón",restaurant
Donde Odette La Gatita,-32.932845,-71.540737,4.2,"Las Pimpinelas 1285, Concón",restaurant
La Picá de Martín,-32.932228,-71.541653,4.2,"Las Pimpinelas 1205, Concón",restaurant
"NOVELLINO Restaurante, desayunos y hora del té",-32.930635,-71.538317,4.2,"Av. Borgoño 21450, Concón, 2510070",restaurant
Aquí Jaime,-32.929725,-71.539232,4.2,"Av. Borgoño 21303, Concón",restaurant
Restaurant Vista al Mar,-32.929846,-71.539824,4.2,"Av. Borgoño 21270, Concón, 2510070",restaurant
Restaurant Los Delfines,-32.931087,-71.539795,4.2,"San Pedro 325, Concón",restaurant
RESTAURANT SANTABRASA DEL MAR,-32.920025,-71.51825,4.1,"Sta. Elena 671, Concón",restaurant
Restaurant La Perla del Pacífico,-32.920049,-71.509894,4.1,"Av. Borgoño 25190, Concón",restaurant
Restaurante Secreto,-32.920706,-71.51275,4.0,"Maroto 1011, Concón",restaurant
Mar y Tierra,-32.918667,-71.518333,4.0,"Av. Borgoño 24290, Concón",restaurant
Albatros Restaurante,-32.929444,-71.540278,3.9,"Av. Borgoño 21295, Concón",restaurant
Los cangrejos - La Boca,-32.920303,-71.512249,3.9,"Av. Borgoño 23201-23399, Concón",restaurant
Hotel boutique Laura del Mar,-32.919706,-71.516764,5.0,"Sta. Laura 481, Concón",hotel
"Las Pimpinelas 1120, Costa de Montemar, Concón",-32.931193,-71.543516,4.9,"Las Pimpinelas 1120, Costa de Montemar Concón, Valparaíso",hotel
Hostal Concón,-32.919675,-71.520603,4.8,"Labarca 424, Concón, 2510000",hotel
Riomar Apart Hotel,-32.921199,-71.508901,4.7,"Maroto 1409, Concón",hotel
Bahía Luz Hostal,-32.918602,-71.520702,4.7,"Pedro de Valdivia 171, Concón, 2510490",hotel
Hotel Azul Pacifico,-32.931323,-71.535245,4.6,"las Elenas 71 concon Concón, Valparaíso",hotel
Dei Templi Apart Hotel,-32.961852,-71.544845,4.6,"Av Edmundo Eluchans 1475, Viña del Mar",hotel
Hostal Casa Concón,-32.920027,-71.520676,4.6,"Barros 751, Concón, 2510000",hotel
Cabañas Aires del Bosque,-32.925552,-71.521354,4.6,"Avenida Vergara 413 entre las calle 3 y 4 Concón, Valparaíso",hotel
Hotel Boutique Casadoca,-32.929931,-71.531574,4.6,"Av. Borgoño 22090, Concón",hotel
Apart Hotel Blumenplatz,-32.929717,-71.548576,4.5,"Las Pimpinelas 310, Concón, Viña del Mar",hotel
Casa Motiva,-32.918414,-71.520308,4.4,"Av. Borgoño 24030, Concón, 2510000",hotel
Hotel Bosque de Reñaca,-32.966052,-71.529418,4.4,"Dublé Almeyda 80, Viña del Mar",hotel
Aparthotel Bahia Bonita,-32.930451,-71.532093,4.4,"Avenida, Av. Borgoño 22040, Concón",hotel
Radisson Blu Acqua Hotel & Spa Concon,-32.918932,-71.523533,4.4,"Av. Borgoño 23333, Concón, 2510000",hotel
HOSTAL CLUB HOUSE,-32.921106,-71.516306,4.3,"Pedro de Valdivia 514, Concón",hotel
Apart Hotel Duna del Mar,-32.922577,-71.518535,4.3,"Sta. Margarita 660, Concón, 2510670",hotel
Hotel Oceanic,-32.983742,-71.547963,4.2,"Av. Borgoño 12925, Viña del Mar",hotel
Linda Vista Apart Hotel,-32.934719,-71.536734,4.1,"Sta María 112 & El Prado, Concón",hotel
Hostal Palos,-32.920074,-71.520669,4.0,Concón,hotel
Casa Maroto,-32.921218,-71.517403,5.0,"Maroto 635, Concón, 2510000",museo
Historical and Archaeological Museum of Concon,-32.920271,-71.516765,4.3,"Sta. Laura 470, Concón",museo
"Centro Artístico y Espiritual ""Dharma""",-32.921481,-71.515192,0.0,"C. 8 375, Concón",museo
Palmera Histórica de Concón,-32.921027,-71.50839,0.0,"23577, Av. Borgoño 25350, Concón, Quintero",museo
Homenaje a los marinos y soldados caídos en la batalla de Concón,-32.933858,-71.443042,0.0,"Ruta 60, Concón",museo
